x,y,label
-8.273806,-8.273806,Underdog
8.502371,8.502371,Forky Asks a Question: What is Love?
25.086515,25.086515,Beverly Hills Chihuahua 2
3.409143,3.409143,The Santa Clause 2
-14.215544,-14.215544,The Cheetah Girls
15.143822,15.143822,The Hunchback of Notre Dame
-9.427754,-9.427754,Lab Rats: Elite Force
-6.6141376,-6.6141376,Fun and Fancy Free
-18.983942,-18.983942,Adventures in Babysitting
8.533651,8.533651,The Sorcerer's Apprentice
0.5996603,0.5996603,Sheriff Callie's Wild West
-27.47513,-27.47513,Flubber
28.347017,28.347017,Muppets Now
-22.941338,-22.941338,Phineas and Ferb The Movie: Candace Against the Universe
-5.351728,-5.351728,D2: The Mighty Ducks
30.479006,30.479006,Tarzan & Jane
-1.111899,-1.111899,Elena of Avalor (Shorts)
-10.792192,-10.792192,Sky High
-18.761766,-18.761766,Starstruck
-2.9779646,-2.9779646,Camp Rock 2: The Final Jam
-19.73493,-19.73493,"Alexander and the Terrible, Horrible, No Good, Very Bad Day"
1.761593,1.761593,Doc McStuffins: The Doc Is In
7.4619007,7.4619007,The Three Caballeros
-3.845042,-3.845042,Lifted
-1.246478,-1.246478,Zenimation
-14.339228,-14.339228,Andi Mack
0.6863448,0.6863448,Legend of the Three Caballeros
-35.140194,-35.140194,Best Friends Whenever
1.1250243,1.1250243,The Scream Team
-1.7714837,-1.7714837,Star Wars Vehicle Flythroughs
27.526995,27.526995,George of the Jungle
-33.221558,-33.221558,Recess
-6.8084435,-6.8084435,Milo Murphy's Law
-13.621309,-13.621309,Godmothered
-13.4300165,-13.4300165,Disney Gallery / Star Wars: The Mandalorian
-11.953253,-11.953253,American Dragon: Jake Long
-43.520782,-43.520782,The Big Green
16.577974,16.577974,The Rescuers Down Under
-25.908783,-25.908783,LEGO Star Wars Holiday Special
-17.585377,-17.585377,Star Wars: The Clone Wars
27.350908,27.350908,Pooh's Heffalump Movie
11.104205,11.104205,Homeward Bound: The Incredible Journey
-17.801554,-17.801554,Spider-Man and His Amazing Friends
-5.2235622,-5.2235622,Phantom of the Megaplex
-29.29781,-29.29781,Frankenweenie (Short)
-30.134544,-30.134544,The Parent Trap
18.591928,18.591928,Goof Troop
-36.706577,-36.706577,The Proud Family Movie
13.693207,13.693207,Special Agent Oso
9.751324,9.751324,Brother Bear 2
105.54618,105.54618,Gargoyles
21.084541,21.084541,The Little Mermaid (Series)
-13.022743,-13.022743,Coop & Cami Ask The World
15.919855,15.919855,Cars Toon: El Materdor
-15.709006,-15.709006,Confessions of a Teenage Drama Queen
104.09898,104.09898,Pocahontas II: Journey to a New World
27.367151,27.367151,The New Adventures of Winnie the Pooh
-22.446419,-22.446419,Phineas and Ferb: Mission Marvel
8.93734,8.93734,Goldie & Bear
-9.286409,-9.286409,The Cheetah Girls 2
13.566472,13.566472,Beverly Hills Chihuahua 3: Viva La Fiesta!
11.52426,11.52426,The Replacements
20.439583,20.439583,Muppet Babies Show and Tell (Shorts)
